id:	name:	is_a:	part_of:	dev_from:	start_stg:	end_stg:	def:
ECAO:1000542	larval tissue	tissue	larva		"early pluteus larva stage

"	competent pluteus larva stage	
ECAO:1000543	adult tissue	tissue			8-arm pluteus larva stage	adult stage	
ECAO:1000544	stomodeum	embryonic structure	ventral ectoderm		mesenchyme blastula stage	prism stage	
ECAO:1000545	ciliary band	anatomical structure	ectoderm		mesenchyme blastula stage	competent pluteus larva stage	
ECAO:1000546	oral hood ciliary band	larval structure	ciliary band		"early pluteus larva stage

"	competent pluteus larva stage	
ECAO:1000547	arm ciliary band	larval structure	ciliary band		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000548	vegetal ciliary band	embryonic structure	ciliary band		mesenchyme blastula stage	prism stage	
ECAO:1000549	lateral ciliary band	embryonic structure	ciliary band		mesenchyme blastula stage	prism stage	
ECAO:1000550	oral hood	larval structure	larva		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000551	apex	larval structure	larva		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000552	larval arm	larval structure	larva		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000553	right anterolateral arm	larval arm	larva		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000554	left anterolateral arm	larval arm	larva		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000555	right postoral arm	larval arm	larva		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000556	left postoral arm	larval arm	larva		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000557	right posterodorsal arm	larval arm	larva		6-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000558	left posterodorsal arm	larval arm	larva		6-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000559	right preoral arm	larval arm	larva		8-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000560	left preoral arm	larval arm	larva		8-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000561	spicule granule	spicule rudiment	rudiment endoskeleton				
ECAO:1000562	spicule rudiment	skeletal element	rudiment endoskeleton				
ECAO:1000563	triradiate spicule rudiment	spicule rudiment	rudiment endoskeleton				
ECAO:1000564	hexaradiate spicule rudiment 	spicule rudiment	rudiment endoskeleton				
ECAO:1000565	embryonic spicule	skeletal element	embryonic endoskeleton				
ECAO:1000566	larval spicule	skeletal element	larval endoskeleton		mid gastrula stage	adult stage	A triradiate or hexaradiate minute calcareous skeletal element that initiates most if not all skeletal structures found within the sea urchin embryo, larva and adult.
ECAO:1000567	triradiate embryonic spicule	skeletal element	endoskeleton		late gastrula stage	adult stage	
ECAO:1000568	triradiate larval spicule	skeletal element	endoskeleton		late gastrula stage	adult stage	
ECAO:1000569	skeletal rod	skeletal element	larval endoskeleton				
ECAO:1000570	anonymous rod	skeletal rod	larval endoskeleton				
ECAO:1000571	right anterolateral rod	skeletal rod	larval endoskeleton		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000572	left anterolateral rod	skeletal rod	larval endoskeleton		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000573	right postoral rod	skeletal rod	larval endoskeleton		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000574	left postoral rod	skeletal rod	larval endoskeleton		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000575	right posterodorsal rod	skeletal rod	larval endoskeleton		6-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000576	left posterodorsal rod	skeletal rod	larval endoskeleton		6-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000577	right preoral rod	skeletal rod	larval endoskeleton		6-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000578	left preoral rod	skeletal rod	larval endoskeleton		6-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000579	dorsal arch	skeletal element	larval endoskeleton		6-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000580	right dorsoventral connecting rod	skeletal rod	endoskeleton		prism stage	competent pluteus larva stage	
ECAO:1000581	left dorsoventral connecting rod	skeletal rod	endoskeleton		prism stage	competent pluteus larva stage	
ECAO:1000582	right ventral transverse rod	skeletal rod	endoskeleton		prism stage	competent pluteus larva stage	
ECAO:1000583	left ventral transverse rod	skeletal rod	endoskeleton		prism stage	competent pluteus larva stage	
ECAO:1000584	scheitel	skeletal element					
ECAO:1000585	body rod	skeletal rod	endoskeleton				
ECAO:1000586	left body rod	body rod	endoskeleton		prism stage	competent pluteus larva stage	
ECAO:1000587	right body rod	body rod	endoskeleton		prism stage	competent pluteus larva stage	
ECAO:1000588	right recurrent rod	skeletal rod	larval endoskeleton		6-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000589	left recurrent rod	skeletal rod	larval endoskeleton		6-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000590	right anteroventral transverse rod	skeletal rod	larval endoskeleton		8-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000591	left anteroventral transverse rod	skeletal rod	larval endoskeleton		8-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000592	right anterodorsal transverse rod	skeletal rod	larval endoskeleton		8-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000593	left anterodorsal transverse rod	skeletal rod	larval endoskeleton		8-arm pluteus larva stage	competent pluteus larva stage	
