id:	name:	is_a:	part_of:	dev_from:	start_stg:	end_stg:	def:
ECAO:1000627	ventrolateral skeletogenic mesenchyme cluster	embryonic structure	skeletogenic mesenchyme		early gastrula stage	prism stage	Subpopulation of skeletogenic mesenchyme forming a cluster (i.e. a group of cells) in the ventrolateral region of the embryo.
ECAO:1000628	lateral chains of skeletogenic mesenchyme	embryonic structure	skeletogenic mesenchyme		early gastrula stage	prism stage	Subpopulation of skeletogenic mesenchyme forming a chain on either side of the developing digestive tract, along the blastocoel wall and towards the animal pole.
ECAO:1000629	right lateral chain of skeletogenic mesenchyme	lateral chains of skeletogenic mesenchyme	skeletogenic mesenchyme		early gastrula stage	prism stage	Subpopulation of skeletogenic mesenchyme forming a chain along the blastocoel wall towards the animal pole on the right side of the embryo.
ECAO:1000630	left lateral chain of skeletogenic mesenchyme	lateral chains of skeletogenic mesenchyme	skeletogenic mesenchyme		early gastrula stage	prism stage	Subpopulation of skeletogenic mesenchyme forming a chain along the blastocoel wall towards the animal pole on the left side of the embryo.
ECAO:1000631	non-skeletogenic mesoderm	embryonic structure	mesoderm		swimming blastula stage	late gastrula stage	
ECAO:1000632	ventral non-skeletogenic mesoderm	embryonic structure	non-skeletogenic mesoderm		mesenchyme blastula stage	mid gastrula stage	
ECAO:1000633	dorsal non-skeletogenic mesoderm	embryonic structure	non-skeletogenic mesoderm		mesenchyme blastula stage	mid gastrula stage	
ECAO:1000634	non-skeletogenic mesenchyme	embryonic tissue	pre-metamorphic individual	non-skeletogenic mesoderm	early gastrula stage	competent pluteus larva stage	
ECAO:1000635	non-skeletogenic mesenchyme cell	cell					
ECAO:1000636	presumptive blastocoelar cell	cell	non-skeletogenic mesoderm		mesenchyme blastula stage	late gastrula stage	
ECAO:1000637	presumptive pigment cell	cell	non-skeletogenic mesoderm		mesenchyme blastula stage	late gastrula stage	
ECAO:1000638	pigment cell	cell	immune system		late gastrula stage	exotrophic juvenile stage	a cell that contains red coloring matter
ECAO:1000639	embryonic pigment cell	pigment cell	embryo	presumptive pigment cell	late gastrula stage	prism stage	
ECAO:1000640	larval pigment cell	pigment cell	larval immune system		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000641	adult pigment cell	pigment cell	adult		postlarval juvenile stage	postlarval juvenile stage	
ECAO:1000642	blastocoelar cell	cell	immune system	presumptive blastocoelar cell	late gastrula stage	competent pluteus larva stage	
ECAO:1000643	globular cell	blastocoelar cell	larval immune system		"early pluteus larva stage

"	competent pluteus larva stage	
ECAO:1000644	filopodial cell	blastocoelar cell	larval immune system		"early pluteus larva stage

"	competent pluteus larva stage	
ECAO:1000645	ovoid cell	blastocoelar cell	larval immune system		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000646	amoeboid cell	blastocoelar cell	larval immune system		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000647	muscle precursor cell	cell	muscular system		prism stage	"early pluteus larva stage

"	
ECAO:1000648	larval muscle	larval tissue	larval muscular system		4-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000649	adult muscle	adult tissue	adult muscular system		8-arm pluteus larva stage	adult stage	
ECAO:1000650	blastocoel	anatomical space			very early blastula stage	competent pluteus larva stage	
ECAO:1000651	sphincter	digestive system element	digestive system		prism stage	adult stage	
ECAO:1000652	pyloric sphincter	sphincter	larval digestive system		"early pluteus larva stage

"	competent pluteus larva stage	
ECAO:1000653	cardiac sphincter	sphincter	larval digestive system		4-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000654	anal sphincter	sphincter	larval digestive system		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000655	sphincter muscle cell	cell	sphincter muscle				
ECAO:1000656	sphincter muscle	larval muscle	larval digestive system	endoderm	4-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000657	pyloric sphincteric muscle	sphincter muscle	pyloric sphincter		4-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000658	cardiac sphincteric muscle	sphincter muscle	cardiac sphincter		4-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000659	anal sphincteric muscle	sphincter muscle	anal sphincter		4-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000660	larval esophagus	digestive system element	larval digestive system		early pluteus larva stage	competent pluteus larva stage	
ECAO:1000661	circumesophageal muscle precursor cell	cell	presumptive circumesophageal muscle				
ECAO:1000662	circumesophageal muscle	larval muscle	larval esophagus		4-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000663	larval stomach	digestive system element	larval digestive system		"early pluteus larva stage

"	competent pluteus larva stage	
ECAO:1000664	larval intestine	digestive system element	larval digestive system		"early pluteus larva stage

"	competent pluteus larva stage	
ECAO:1000665	coelom	anatomical structure	whole organism		prism stage	adult stage	
ECAO:1000666	unpaired coelomic pouch	coelom	embryo		prism stage	prism stage	
ECAO:1000667	right coelomic pouch 	coelom	larva		early pluteus larva stage	6-arm pluteus larva stage	
ECAO:1000668	left coelomic pouch 	coelom	larva		early pluteus larva stage	6-arm pluteus larva stage	
ECAO:1000669	right coelomic constriction	anatomical structure					
ECAO:1000670	left coelomic constriction	anatomical structure					
ECAO:1000671	vestibule	larval structure	larval epidermis	ventral ectoderm	8-arm pluteus larva stage	8-arm pluteus larva stage	
ECAO:1000672	oral epithelium	larval tissue					
ECAO:1000673	aboral epithelium	larval tissue					
ECAO:1000674	vestibular pore	anatomical structure	larva	left lateral field	competent pluteus larva stage	metamorphic larva stage	Opening located in the left lateral field
ECAO:1000675	left axocoel	axocoel	larva	left coelomic pouch 	8-arm pluteus larva stage	8-arm pluteus larva stage	
ECAO:1000676	axial coelom	coelom	adult	left axocoel	postlarval juvenile stage	adult stage	
ECAO:1000677	hydrocoel	coelom	larva				
ECAO:1000678	axocoel	coelom	larva				
ECAO:1000679	somatocoel	coelom	larva				
ECAO:1000680	left hydrocoel	hydrocoel	larva	left coelomic pouch 	8-arm pluteus larva stage	8-arm pluteus larva stage	
ECAO:1000681	left somatocoel	somatocoel	larva	left coelomic pouch 	8-arm pluteus larva stage	8-arm pluteus larva stage	
ECAO:1000682	right axohydrocoel	coelom	larva	right coelomic pouch 	8-arm pluteus larva stage	8-arm pluteus larva stage	
ECAO:1000683	right somatocoel	somatocoel	larva	right coelomic pouch 	8-arm pluteus larva stage	8-arm pluteus larva stage	
ECAO:1000684	stone canal	anatomical structure	water vascular system	left coelomic pouch 	8-arm pluteus larva stage	adult stage	
ECAO:1000685	ring canal	adult structure	water vascular system	left hydrocoel	8-arm pluteus larva stage	adult stage	
ECAO:1000686	radial canal	adult structure	water vascular system	left hydrocoel	8-arm pluteus larva stage	adult stage	
ECAO:1000687	hydropore	anatomical structure	primary pore canal		4-arm pluteus larva stage	adult stage	
ECAO:1000688	right axocoel	axocoel	larva	right axohydrocoel	8-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000689	right hydrocoel	hydrocoel	larva	right axohydrocoel	8-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000690	axial sinus	adult structure		right hydrocoel	postlarval juvenile stage	adult stage	
ECAO:1000691	primary pore canal	larval structure	water vascular system	non-skeletogenic mesenchyme	4-arm pluteus larva stage	4-arm pluteus larva stage	
ECAO:1000692	axial organ	adult structure	hemal system		exotrophic juvenile stage	adult stage	
ECAO:1000693	ciliated epaulette	larval structure	larval epidermis	ciliary band	6-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000694	anterior ciliated epaulette	ciliated epaulette	larva		8-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000695	posterior ciliated epaulette	ciliated epaulette	larva		8-arm pluteus larva stage	competent pluteus larva stage	
ECAO:1000696	lateral field	anatomical region	larva		8-arm pluteus larva stage	competent pluteus larva stage	The lateral field is located in the aboral ectoderm of the larva. It separates the anterior and posterior pairs of epaulettes
ECAO:1000697	left lateral field	lateral field	larva		8-arm pluteus larva stage	competent pluteus larva stage	The left lateral field is the lateral field located on the left side of the larva
ECAO:1000698	right lateral field	lateral field	larva		8-arm pluteus larva stage	competent pluteus larva stage	The right lateral field is the lateral field located on the right side of the larva
ECAO:1000699	larval epidermis	larval tissue	ectoderm		"early pluteus larva stage

"	competent pluteus larva stage	
ECAO:1000700	ambulacral plate	skeletal element	adult endoskeleton		8-arm pluteus larva stage	adult stage	
ECAO:1000701	interambulacral plate	skeletal element	adult endoskeleton		8-arm pluteus larva stage	adult stage	
ECAO:1000702	ambulacra	anatomical structure					
ECAO:1000703	interambulacra	anatomical structure					
ECAO:1000704	genital plate	skeletal element	adult endoskeleton		8-arm pluteus larva stage	adult stage	
ECAO:1000705	appendage	anatomical structure					
ECAO:1000706	pedicellaria	appendage	adult endoskeleton		8-arm pluteus larva stage	exotrophic juvenile stage	
ECAO:1000707	ocular plate	skeletal element	adult endoskeleton		8-arm pluteus larva stage	adult stage	
ECAO:1000708	buccal plate	skeletal element	adult endoskeleton		exotrophic juvenile stage	adult stage	
ECAO:1000709	genital plate AB	genital plate	adult endoskeleton		8-arm pluteus larva stage	adult stage	
ECAO:1000710	genital plate BC	genital plate	adult endoskeleton		8-arm pluteus larva stage	adult stage	
ECAO:1000711	genital plate CD	genital plate	adult endoskeleton		8-arm pluteus larva stage	adult stage	
ECAO:1000712	genital plate DE	genital plate	adult endoskeleton		8-arm pluteus larva stage	adult stage	
ECAO:1000713	genital plate EA	genital plate	adult endoskeleton		8-arm pluteus larva stage	adult stage	
ECAO:1000714	podia	appendage					
ECAO:1000715	primary podia	podia	water vascular system		8-arm pluteus larva stage	postlarval juvenile stage	
ECAO:1000716	disk of primary podia	skeletal element	primary podia		8-arm pluteus larva stage	postlarval juvenile stage	
ECAO:1000717	secondary podia	podia	water vascular system		exotrophic juvenile stage	adult stage	
ECAO:1000718	disk of secondary podia	skeletal element	secondary podia		exotrophic juvenile stage	adult stage	
ECAO:1000719	spine	appendage	adult endoskeleton		8-arm pluteus larva stage	adult stage	
ECAO:1000720	juvenile spine	spine	adult endoskeleton		8-arm pluteus larva stage	exotrophic juvenile stage	
ECAO:1000721	definitive spine	spine	adult endoskeleton		8-arm pluteus larva stage	adult stage	
ECAO:1000722	ampulla	adult structure	water vascular system	radial canal	postlarval juvenile stage	adult stage	
ECAO:1000723	adult mouth	mouth	adult digestive system		exotrophic juvenile stage	adult stage	
ECAO:1000724	adult anus	anus	adult digestive system		exotrophic juvenile stage	adult stage	
ECAO:1000725	dental sac	anatomical structure	rudiment		8-arm pluteus larva stage	postlarval juvenile stage	
ECAO:1000726	tooth	adult structure	aristotle's lantern	dental sac	exotrophic juvenile stage	adult stage	
ECAO:1000727	aristotle's lantern	adult structure	adult digestive system		exotrophic juvenile stage	adult stage	
ECAO:1000728	madreporite	genital plate	endoskeleton	genital plate CD	exotrophic juvenile stage	adult stage	
ECAO:1000729	gonopore	adult structure	genital plate		exotrophic juvenile stage	adult stage	
ECAO:1000730	gonad	adult structure	reproductive system		adult stage	adult stage	
ECAO:1000731	ovary	gonad	reproductive system		adult stage	adult stage	
ECAO:1000732	testis	gonad	reproductive system		adult stage	adult stage	
ECAO:1000733	adult digestive tract	organ	adult digestive system	larval digestive system	exotrophic juvenile stage	adult stage	
ECAO:1000734	mesentery	anatomical structure	adult		exotrophic juvenile stage	adult stage	
ECAO:1000735	sphaeridium	appendage	adult endoskeleton		exotrophic juvenile stage	adult stage	
ECAO:1000736	perivisceral cavity	anatomical region	adult		postlarval juvenile stage	adult stage	
ECAO:1000737	photosensory cell	cell	adult				
