ID URCH	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	XAO Type	Pliv comments	GeneOntology type 	URCH specific	hasNoOnto
ECAO:1000399	cell	anatomical structure			previtellogenic primary oocyte stage	adult stage	Anatomical structure that has as its parts a maximally connected cell compartment surrounded by a plasma membrane				CL:0000000								
ECAO:1000400	cell part	anatomical structure	cell		mature oocyte	adult stage	Anatomical structure that is part of a cell and that has a granularity level equal to that of a protein complex or higher.			GO:0044464							GO:0044464		
ECAO:1000401	organ	anatomical system	multicellular organism		"early pluteus larva stage

"	adult stage			UBERON:0000062										
ECAO:1000402	digestive system element	anatomical structure	digestive system		blastopore gastrula stage	adult stage	Any of the organs or elements that are part of the digestive system		UBERON:0013765										
ECAO:1000403	skeletal element	anatomical structure	endoskeleton		mid gastrula stage	adult stage			UBERON:0004765										
ECAO:1000404	embryonic structure	anatomical structure	embryo		1-cell stage	prism stage			UBERON:0002050										
ECAO:1000405	larval structure	anatomical structure	larva		"early pluteus larva stage

"	competent pluteus larva stage												x	
ECAO:1000406	adult structure	anatomical structure	adult		postlarval juvenile stage	adult stage												x	
ECAO:1000407	tissue	anatomical structure	multicellular organism		60-cell stage	adult stage			UBERON:0000479										
ECAO:1000408	rudiment	anatomical structure	larva		8-arm pluteus larva stage	competent pluteus larva stage		adult rudiment, imaginal adult rudiment										x	
ECAO:1000409	rudiment structure	anatomical structure	rudiment		8-arm pluteus larva stage	competent pluteus larva stage												x	
ECAO:1000410	non-rudiment adult structure	anatomical structure	larva		8-arm pluteus larva stage	competent pluteus larva stage												x	
ECAO:1000411	microtubule	intracellular part			previtellogenic primary oocyte stage	adult stage				GO:0005874							GO:0005874		
ECAO:1000412	nucleus	intracellular part			mature oocyte	adult stage	A membrane-bounded organelle of in which chromosomes are housed and replicated. In most cells, it contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some specialized cell types, RNA metabolism or DNA replication may be absent			GO:0005634							GO:0005634		
ECAO:1000413	germinal vesicle	nucleus	oocyte		not fully grown oocyte stage	fully grown oocyte with off-centered germinal vesicle stage	The enlarged, fluid filled nucleus of a primary oocyte, the development of which is suspended in prophase I of the first meiotic division between embryohood and sexual maturity			GO:0042585							GO:0042585		
ECAO:1000414	equatorial pigment band	intracellular part			fully grown oocyte with centered germinal vesicle stage	prism stage	The subequatorial accumulation of pigment granules (the so-called ‘pigment band’) in eggs or early stage embryos, which constitutes an unambiguous marker of animal-vegetal polarity	pigment band, pigmented band					Sardet, C. and Chang, P. (1985). A marker of animal-vegetal polarity in the egg of the sea urchin paracentrotus lividus. Exp. Cell Res. 160, 73–82.					x	
ECAO:1000415	cytoplasm	intracellular part			not fully grown oocyte stage	adult stage	All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures			GO:0005737							GO:0005737		
ECAO:1000416	centrosome	intracellular part			fully grown oocyte with off-centered germinal vesicle stage	adult stage				GO:0005813							GO:0005813		
ECAO:1000417	mitotic spindle	intracellular part			1-cell stage	adult stage				GO:0072686							GO:0072686		
ECAO:1000418	meiotic spindle	intracellular part	oocyte		fully grown oocyte with off-centered germinal vesicle stage	fully grown oocyte with off-centered germinal vesicle stage				GO:0072687							GO:0072687		
ECAO:1000419	fertilization envelope	cell part	embryo		1-cell stage	late blastula stage	A structure that lies outside the plasma membrane and surrounds the egg. The fertilization envelope forms from the vitelline membrane after fertilization as a result of cortical granule release	fertilization membrane		GO:0060387							GO:0060387		
ECAO:1000420	cytoskeleton	intracellular part								GO:0005856							GO:0005856		
ECAO:1000421	cytoskeletal part	cytoskeleton								GO:0044430							GO:0044430		
ECAO:1000422	sperm aster	aster						spermatozoid aster										x	
ECAO:1000423	aster	cytoskeletal part						spindle aster, mitotic aster		GO:0005818							GO:0005818		
ECAO:1000424	acellular membrane	anatomical structure							UBERON:0005764										
ECAO:1000425	vitelline membrane	acellular membrane						vitelline layer, vitelline envelope	UBERON:0003125										
ECAO:1000426	intracellular part	cell part								GO:0044424							GO:0044424		
