term,label,definition,exact_synonym
http://purl.obolibrary.org/obo/ECAO_0100508,vegetal tier 1 ,,"veg1, ectoendoderm"
http://purl.obolibrary.org/obo/ECAO_0100509,vegetal tier 2 ,,"veg2, endomesoderm"
http://purl.obolibrary.org/obo/ECAO_0100510,vegetal tier 1 upper,,"veg1U, veg1 upper, presumptive vegetal ectoderm"
http://purl.obolibrary.org/obo/ECAO_0100511,vegetal tier 1 lower,,"veg1L, veg1 lower"
http://purl.obolibrary.org/obo/ECAO_0100512,vegetal tier 2 upper,,"veg2U, veg2 upper"
http://purl.obolibrary.org/obo/ECAO_0100513,vegetal tier 2 lower,,"veg2L, veg2 lower, presumptive non-skeletogenic mesoderm"
http://purl.obolibrary.org/obo/ECAO_0100514,germ layer,,"primary germ layer, embryonic germ layer"
http://purl.obolibrary.org/obo/ECAO_0100515,presumptive ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100516,ectoderm,Primary germ layer that is the outer of the embryo's three germ layers and gives rise to epidermis and neural tissue.,
http://purl.obolibrary.org/obo/ECAO_0100517,oral ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100518,aboral ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100519,animal ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100520,vegetal ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100521,ventral ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100522,dorsal ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100523,ectoendoderm,,"vegetal tier 1, veg1"
http://purl.obolibrary.org/obo/ECAO_0100524,endomesoderm,,"vegetal tier 2, veg2, mesoendoderm"
http://purl.obolibrary.org/obo/ECAO_0100525,inner animal pole domain,,inner apical pole domain
http://purl.obolibrary.org/obo/ECAO_0100526,outer animal pole domain,,outer apical pole domain
http://purl.obolibrary.org/obo/ECAO_0100527,central ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100528,border ectoderm,,BE
http://purl.obolibrary.org/obo/ECAO_0100529,near-apical ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100530,apical ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100531,posterior ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100532,veg1-lateral ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100533,veg-1 oral ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100534,lateral ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100535,right lateral ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100536,left lateral ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100537,arm tip ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100538,dorsal arm tip ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100539,ventral arm tip ectoderm,,
http://purl.obolibrary.org/obo/ECAO_0100540,apical tuft,,
http://purl.obolibrary.org/obo/ECAO_0100541,embryonic tissue,,
http://purl.obolibrary.org/obo/ECAO_0100542,larval tissue,,
http://purl.obolibrary.org/obo/ECAO_0100543,adult tissue,,
http://purl.obolibrary.org/obo/ECAO_0100544,stomodeum,,presumptive mouth
http://purl.obolibrary.org/obo/ECAO_0100545,ciliary band,,
http://purl.obolibrary.org/obo/ECAO_0100546,oral hood ciliary band,,
http://purl.obolibrary.org/obo/ECAO_0100547,arm ciliary band,,
http://purl.obolibrary.org/obo/ECAO_0100548,vegetal ciliary band,,
http://purl.obolibrary.org/obo/ECAO_0100549,lateral ciliary band,,
http://purl.obolibrary.org/obo/ECAO_0100550,oral hood,,"oh, preoral lobe, PL"
http://purl.obolibrary.org/obo/ECAO_0100551,apex,,
http://purl.obolibrary.org/obo/ECAO_0100552,larval arm,,
http://purl.obolibrary.org/obo/ECAO_0100553,right anterolateral arm,,"AL, ALA"
http://purl.obolibrary.org/obo/ECAO_0100554,left anterolateral arm,,"AL, ALA"
http://purl.obolibrary.org/obo/ECAO_0100555,right postoral arm,,PO
http://purl.obolibrary.org/obo/ECAO_0100556,left postoral arm,,PO
http://purl.obolibrary.org/obo/ECAO_0100557,right posterodorsal arm,,PD
http://purl.obolibrary.org/obo/ECAO_0100558,left posterodorsal arm,,PD
